college_team,college_conference,nfl_team,year,overall,draft_round,pick,name,position,height,weight,season_before_draft,passing_completions,passing_att,completion_pct,passing_yds,passing_tds,passing_ints,passing_ypa,rushing_car,rushing_yds,rushing_td,rushing_ypc,regular_season_games,regular_season_wins,regular_season_losses,postseason_games,postseason_wins,postseason_losses,forty,bench,vertical,broad_jump,cone,shuttle,attended_combine
Arizona,Pac-12,Philadelphia,2012,88,3,25,Nick Foles,Quarterback,77.0,243.0,2011,387,560,0.691,4334,28,14,7.7,43,-103,0,-2.4,12,4,8,0,0,0,5.14,,30.5,112.0,,,Y
Michigan State,Big Ten,Washington,2012,102,4,7,Kirk Cousins,Quarterback,75.0,214.0,2011,267,419,0.637,3316,25,10,7.9,37,-39,0,-1.1,13,10,3,1,1,0,4.84,,28.5,109.0,7.05,4.5,Y
San Diego State,Mountain West,Arizona,2012,185,6,15,Ryan Lindley,Quarterback,76.0,229.0,2011,237,447,0.53,3153,23,8,7.1,18,-51,0,-2.8,12,8,4,1,0,1,4.86,,29.5,108.0,7.52,4.45,Y
Northern Illinois,Mid-American,Indianapolis,2012,253,7,46,Chandler Harnish,Quarterback,74.0,219.0,2011,228,365,0.625,3118,27,6,8.5,177,1231,10,7.0,13,10,3,1,1,0,4.68,,32.5,112.0,6.78,4.15,Y
Florida State,ACC,Buffalo,2013,16,1,16,EJ Manuel,Quarterback,77.0,237.0,2012,263,387,0.68,3392,23,10,8.8,103,310,4,3.0,13,11,2,1,1,0,4.65,,34.0,118.0,7.08,4.21,Y
West Virginia,Big 12,New York,2013,39,2,7,Geno Smith,Quarterback,74.0,218.0,2012,369,518,0.712,4205,42,6,8.1,66,151,2,2.3,12,7,5,1,0,1,4.58,,33.5,124.0,,,Y
NC State,ACC,Tampa Bay,2013,73,3,11,Mike Glennon,Quarterback,79.0,225.0,2012,330,564,0.585,4031,31,17,7.1,56,-164,2,-2.9,12,7,5,1,0,1,4.94,,26.5,102.0,7.49,4.52,Y
USC,Pac-12,Philadelphia,2013,98,4,1,Matt Barkley,Quarterback,75.0,227.0,2012,246,387,0.636,3273,36,15,8.5,25,-72,0,-2.9,12,7,5,1,0,1,4.91,,,,,,Y
Syracuse,Big East,New York,2013,110,4,13,Ryan Nassib,Quarterback,74.0,227.0,2012,294,471,0.624,3749,26,10,8.0,84,138,2,1.6,12,7,5,1,1,0,5.06,,28.5,105.0,7.34,4.53,Y
Arkansas,SEC,Las Vegas,2013,112,4,15,Tyler Wilson,Quarterback,74.0,215.0,2012,249,401,0.621,3387,21,13,8.4,41,7,0,0.2,12,4,8,0,0,0,4.95,,28.5,112.0,7.22,4.39,Y
Oklahoma,Big 12,Pittsburgh,2013,115,4,18,Landry Jones,Quarterback,76.0,225.0,2012,367,555,0.661,4267,30,11,7.7,14,-110,0,-7.9,12,10,2,1,0,1,5.11,,31.0,115.0,7.12,4.3,Y
Miami (OH),Mid-American,Denver,2013,234,7,28,Zac Dysert,Quarterback,75.0,231.0,2012,302,480,0.629,3483,25,12,7.3,108,265,2,2.5,12,4,8,0,0,0,4.81,,,,,,Y
South Florida,Big East,San Francisco,2013,237,7,31,B.J. Daniels,Quarterback,,216.0,2012,164,289,0.567,2078,14,10,7.2,104,426,5,4.1,12,3,9,0,0,0,,,,,,,N
Duke,ACC,Atlanta,2013,249,7,43,Sean Renfree,Quarterback,75.0,219.0,2012,297,441,0.673,3113,19,10,7.1,38,-50,1,-1.3,12,6,6,1,0,1,4.76,,,,,,Y
UCF,American Athletic,Jacksonville,2014,3,1,3,Blake Bortles,Quarterback,77.0,232.0,2013,259,382,0.678,3581,25,9,9.4,87,272,6,3.1,12,11,1,1,1,0,4.93,,32.5,115.0,7.08,4.21,Y
Texas A&M,SEC,Cleveland,2014,22,1,22,Johnny Manziel,Quarterback,72.0,207.0,2013,300,429,0.699,4114,37,13,9.6,144,759,9,5.3,12,8,4,1,1,0,4.68,,31.5,113.0,6.75,4.03,Y
Louisville,American Athletic,Minnesota,2014,32,1,32,Teddy Bridgewater,Quarterback,74.0,214.0,2013,303,427,0.71,3970,31,4,9.3,63,78,1,1.2,12,11,1,1,1,0,,,30.0,113.0,7.17,4.2,Y
Fresno State,Mountain West,Las Vegas,2014,36,2,4,Derek Carr,Quarterback,74.0,214.0,2013,453,659,0.687,5082,50,8,7.7,40,117,2,2.9,12,11,1,1,0,1,4.69,,34.5,110.0,,4.2,Y
Eastern Illinois,OVC,New England,2014,62,2,30,Jimmy Garoppolo,Quarterback,74.0,226.0,2013,65,95,0.684,811,9,2,8.5,12,-2,0,-0.2,4,3,1,0,0,0,4.97,,30.5,110.0,7.04,4.26,Y
Virginia Tech,ACC,Arizona,2014,120,4,20,Logan Thomas,Quarterback,78.0,248.0,2013,227,402,0.565,2907,16,13,7.2,162,344,4,2.1,12,8,4,1,0,1,4.61,,35.5,118.0,7.05,4.18,Y
Pittsburgh,ACC,Houston,2014,135,4,35,Tom Savage,Quarterback,76.0,228.0,2013,238,389,0.612,2958,21,9,7.6,76,-208,3,-2.7,12,6,6,1,1,0,4.97,,27.0,105.0,7.33,4.36,Y
Georgia,SEC,Kansas City,2014,163,5,23,Aaron Murray,Quarterback,73.0,207.0,2013,225,347,0.648,3075,26,9,8.9,53,186,7,3.5,12,8,4,1,0,1,4.84,,,,,,Y
Alabama,SEC,Cincinnati,2014,164,5,24,AJ McCarron,Quarterback,75.0,220.0,2013,226,336,0.673,3063,28,7,9.1,34,-22,0,-0.6,12,11,1,1,0,1,4.94,,28.0,99.0,7.18,4.34,Y
LSU,SEC,Tennessee,2014,178,6,2,Zach Mettenberger,Quarterback,77.0,224.0,2013,192,296,0.649,3082,22,8,10.4,34,-133,0,-3.9,12,9,3,1,1,0,,,,,,,Y
San José State,Mountain West,Chicago,2014,183,6,7,David Fales,Quarterback,74.0,212.0,2013,312,487,0.641,4189,33,13,8.6,48,7,2,0.1,12,6,6,0,0,0,4.99,,28.0,103.0,7.55,4.5,Y
Ball State,Mid-American,Baltimore,2014,194,6,18,Keith Wenning,Quarterback,75.0,218.0,2013,319,498,0.641,4148,35,7,8.3,45,44,5,1.0,12,10,2,1,0,1,5.0,,28.0,100.0,7.07,4.25,Y
Clemson,ACC,New York,2014,213,6,37,Tajh Boyd,Quarterback,73.0,222.0,2013,283,413,0.685,3851,34,11,9.3,154,400,10,2.6,12,10,2,1,1,0,4.84,,30.5,106.0,7.33,4.23,Y
SMU,American Athletic,Los Angeles,2014,214,6,38,Garrett Gilbert,Quarterback,76.0,220.0,2013,335,504,0.665,3528,21,7,7.0,83,267,6,3.2,12,5,7,0,0,0,,,,,,,N
Florida State,ACC,Tampa Bay,2015,1,1,1,Jameis Winston,Quarterback,76.0,231.0,2014,305,467,0.653,3907,25,18,8.4,57,65,3,1.1,13,13,0,1,0,1,4.97,,28.5,103.0,7.16,4.36,Y
Oregon,Pac-12,Tennessee,2015,2,1,2,Marcus Mariota,Quarterback,76.0,222.0,2014,304,445,0.683,4454,42,4,10.0,135,770,15,5.7,13,12,1,2,1,1,4.52,,36.0,121.0,6.87,4.11,Y
Colorado State,Mountain West,New Orleans,2015,75,3,11,Garrett Grayson,Quarterback,75.0,213.0,2014,270,420,0.643,4006,32,7,9.5,57,-46,0,-0.8,12,10,2,1,0,1,4.75,,,,,,Y
Oregon State,Pac-12,Los Angeles,2015,89,3,25,Sean Mannion,Quarterback,78.0,229.0,2014,282,453,0.623,3164,15,8,7.0,48,-306,1,-6.4,12,5,7,0,0,0,5.14,,31.0,105.0,7.29,4.39,Y
Baylor,Big 12,New York,2015,103,4,4,Bryce Petty,Quarterback,75.0,230.0,2014,270,428,0.631,3855,29,7,9.0,84,101,6,1.2,12,11,1,1,0,1,4.87,,34.0,121.0,6.91,4.13,Y
UCLA,Pac-12,Green Bay,2015,147,5,11,Brett Hundley,Quarterback,75.0,226.0,2014,271,392,0.691,3155,22,5,8.0,159,644,10,4.1,12,9,3,1,1,0,4.63,,36.0,120.0,6.93,3.98,Y
Northwestern,Big Ten,Denver,2015,250,7,33,Trevor Siemian,Quarterback,75.0,220.0,2014,228,392,0.582,2214,7,11,5.6,68,-123,5,-1.8,12,5,7,0,0,0,,,,,,,N
California,Pac-12,Los Angeles,2016,1,1,1,Jared Goff,Quarterback,76.0,215.0,2015,341,529,0.645,4719,43,13,8.9,56,-8,0,-0.1,12,7,5,1,1,0,4.82,,27.0,110.0,7.17,4.47,Y
Memphis,American Athletic,Denver,2016,26,1,26,Paxton Lynch,Quarterback,79.0,244.0,2015,296,443,0.668,3776,28,4,8.5,87,239,2,2.7,12,9,3,1,0,1,4.86,,36.0,118.0,7.14,4.26,Y
Penn State,Big Ten,New York,2016,51,2,20,Christian Hackenberg,Quarterback,76.0,223.0,2015,192,359,0.535,2525,16,6,7.0,66,-80,2,-1.2,12,7,5,1,0,1,4.78,,31.0,114.0,7.04,4.33,Y
NC State,ACC,New England,2016,91,3,28,Jacoby Brissett,Quarterback,76.0,231.0,2015,237,395,0.6,2662,20,6,6.7,139,370,6,2.7,12,7,5,1,0,1,4.94,,31.0,113.0,7.17,4.53,Y
USC,Pac-12,Cleveland,2016,93,3,30,Cody Kessler,Quarterback,73.0,220.0,2015,298,446,0.668,3536,29,7,7.9,61,-149,4,-2.4,13,8,5,1,0,1,4.89,,29.5,104.0,7.32,4.0,Y
Michigan State,Big Ten,Las Vegas,2016,100,4,2,Connor Cook,Quarterback,76.0,217.0,2015,229,408,0.561,3131,24,7,7.7,52,56,0,1.1,13,12,1,1,0,1,4.79,,33.0,113.0,7.21,4.28,Y
Mississippi State,SEC,Dallas,2016,135,4,37,Dak Prescott,Quarterback,74.0,226.0,2015,316,477,0.662,3793,29,5,8.0,160,588,10,3.7,12,8,4,1,1,0,4.79,,32.5,116.0,7.11,4.32,Y
Ohio State,Big Ten,Buffalo,2016,139,4,41,Cardale Jones,Quarterback,77.0,253.0,2015,110,176,0.625,1460,8,5,8.3,64,193,2,3.0,12,11,1,1,1,0,4.81,,36.0,,,,Y
Stanford,Pac-12,Kansas City,2016,162,5,23,Kevin Hogan,Quarterback,75.0,218.0,2015,206,304,0.678,2867,27,8,9.4,85,336,6,4.0,13,11,2,1,1,0,4.78,,32.5,113.0,6.9,4.31,Y
Indiana,Big Ten,Washington,2016,187,6,12,Nate Sudfeld,Quarterback,78.0,234.0,2015,247,412,0.6,3573,27,7,8.7,46,61,5,1.3,12,6,6,1,0,1,5.02,,29.0,105.0,,,Y
Michigan,Big Ten,Detroit,2016,191,6,16,Jake Rudock,Quarterback,75.0,207.0,2015,249,389,0.64,3017,20,9,7.8,58,166,4,2.9,12,9,3,1,1,0,,,,,,,N
Arkansas,SEC,Jacksonville,2016,201,6,26,Brandon Allen,Quarterback,73.0,217.0,2015,244,370,0.659,3440,30,8,9.3,56,107,1,1.9,12,7,5,1,1,0,4.84,,28.0,110.0,7.06,4.33,Y
Louisiana Tech,Conference USA,San Francisco,2016,207,6,32,Jeff Driskel,Quarterback,76.0,234.0,2015,281,450,0.624,4033,27,8,9.0,92,323,5,3.5,12,8,4,1,1,0,4.56,,32.0,122.0,7.19,4.25,Y
Western Kentucky,Conference USA,Miami,2016,223,7,2,Brandon Doughty,Quarterback,75.0,213.0,2015,388,540,0.719,5055,48,9,9.4,27,-122,1,-4.5,13,11,2,1,1,0,5.22,,27.0,103.0,7.49,4.52,Y
Texas Tech,Big 12,Kansas City,2017,10,1,10,Patrick Mahomes,Quarterback,74.0,225.0,2016,388,591,0.657,5052,41,10,8.5,131,285,12,2.2,12,5,7,0,0,0,4.8,,30.0,114.0,6.88,4.08,Y
Clemson,ACC,Houston,2017,12,1,12,Deshaun Watson,Quarterback,75.0,221.0,2016,387,578,0.67,4593,41,17,7.9,165,629,9,3.8,13,12,1,2,2,0,4.66,,32.5,119.0,6.95,4.31,Y
Notre Dame,FBS Independents,Cleveland,2017,52,2,20,DeShone Kizer,Quarterback,76.0,233.0,2016,212,361,0.587,2925,26,9,8.1,129,472,8,3.7,12,4,8,0,0,0,4.83,,30.5,107.0,7.4,4.53,Y
California,Pac-12,New York,2017,87,3,23,Davis Webb,Quarterback,77.0,229.0,2016,382,620,0.616,4295,37,12,6.9,33,-110,6,-3.3,12,5,7,0,0,0,4.79,,33.0,118.0,6.92,4.21,Y
Iowa,Big Ten,San Francisco,2017,104,3,40,C.J. Beathard,Quarterback,75.0,219.0,2016,170,301,0.565,1929,17,10,6.4,83,-13,2,-0.2,12,8,4,1,0,1,,,31.0,113.0,,,Y
Tennessee,SEC,Pittsburgh,2017,135,4,29,Joshua Dobbs,Quarterback,75.0,216.0,2016,225,357,0.63,2946,27,12,8.3,150,831,12,5.5,12,8,4,1,1,0,4.64,,33.0,122.0,6.75,4.31,Y
Pittsburgh,ACC,Buffalo,2017,171,5,28,Nathan Peterman,Quarterback,75.0,226.0,2016,185,306,0.605,2855,27,7,9.3,72,286,3,4.0,12,8,4,1,0,1,4.82,,31.0,110.0,7.14,4.31,Y
Miami,ACC,Detroit,2017,215,6,32,Brad Kaaya,Quarterback,76.0,214.0,2016,261,421,0.62,3532,27,7,8.4,37,-136,1,-3.7,12,8,4,1,1,0,,,,,,,Y
Ole Miss,SEC,Denver,2017,253,7,35,Chad Kelly,Quarterback,74.0,228.0,2016,205,328,0.625,2758,19,8,8.4,81,332,5,4.1,12,5,7,0,0,0,,,,,,,N
Oklahoma,Big 12,Cleveland,2018,1,1,1,Baker Mayfield,Quarterback,73.0,215.0,2017,285,404,0.705,4627,43,6,11.5,97,311,5,3.2,13,12,1,1,0,1,4.84,,29.0,111.0,7.0,4.28,Y
USC,Pac-12,New York,2018,3,1,3,Sam Darnold,Quarterback,75.0,221.0,2017,303,480,0.631,4143,26,13,8.6,75,82,5,1.1,13,11,2,1,0,1,4.85,,26.5,105.0,6.96,4.4,Y
Wyoming,Mountain West,Buffalo,2018,7,1,7,Josh Allen,Quarterback,77.0,237.0,2017,152,270,0.563,1812,16,6,6.7,92,204,5,2.2,12,7,5,1,1,0,4.75,,33.5,119.0,6.9,4.4,Y
UCLA,Pac-12,Arizona,2018,10,1,10,Josh Rosen,Quarterback,76.0,226.0,2017,282,451,0.625,3717,26,10,8.2,50,-97,2,-1.9,12,6,6,1,0,1,4.92,,31.0,111.0,7.09,4.28,Y
Louisville,ACC,Baltimore,2018,32,1,32,Lamar Jackson,Quarterback,74.0,216.0,2017,254,430,0.591,3660,27,10,8.5,232,1601,18,6.9,12,8,4,1,0,1,,,,,,,Y
Oklahoma State,Big 12,Pittsburgh,2018,76,3,12,Mason Rudolph,Quarterback,77.0,235.0,2017,318,489,0.65,4904,37,9,10.0,61,35,10,0.6,12,9,3,1,1,0,4.9,,26.0,,,,Y
Western Kentucky,Conference USA,Dallas,2018,171,5,34,Mike White,Quarterback,77.0,224.0,2017,368,560,0.657,4177,26,8,7.5,64,-268,6,-4.2,12,6,6,1,0,1,5.09,,27.0,96.0,7.4,4.4,Y
Washington State,Pac-12,Tennessee,2018,199,6,25,Luke Falk,Quarterback,76.0,215.0,2017,357,534,0.669,3593,30,13,6.7,67,-147,0,-2.2,12,9,3,1,0,1,,,26.5,103.0,,,Y
Nebraska,Big Ten,Jacksonville,2018,203,6,29,Tanner Lee,Quarterback,76.0,218.0,2017,246,428,0.575,3143,23,16,7.3,30,-97,2,-3.2,12,4,8,0,0,0,4.98,,32.0,115.0,7.0,4.41,Y
LSU,SEC,New England,2018,219,7,1,Danny Etling,Quarterback,75.0,222.0,2017,165,275,0.6,2463,16,2,9.0,72,128,2,1.8,12,9,3,1,0,1,4.76,,30.5,114.0,7.09,4.37,Y
Florida International,Conference USA,Seattle,2018,220,7,2,Alex Mcgough,Quarterback,75.0,212.0,2017,232,355,0.654,2798,17,8,7.9,78,231,5,3.0,12,8,4,1,0,1,,,,,,,N
Toledo,Mid-American,Cincinnati,2018,249,7,31,Logan Woodside,Quarterback,73.0,213.0,2017,264,411,0.642,3882,28,8,9.4,51,34,1,0.7,13,11,2,1,0,1,4.79,,31.5,103.0,6.94,4.15,Y
Oklahoma,Big 12,Arizona,2019,1,1,1,Kyler Murray,Quarterback,70.0,207.0,2018,259,376,0.689,4364,42,7,11.6,140,1001,12,7.2,13,12,1,1,0,1,,,,,,,Y
Duke,ACC,New York,2019,6,1,6,Daniel Jones,Quarterback,77.0,221.0,2018,237,392,0.605,2674,22,9,6.8,104,319,3,3.1,12,7,5,1,1,0,4.81,,33.5,120.0,7.0,4.41,Y
Ohio State,Big Ten,Washington,2019,15,1,15,Dwayne Haskins,Quarterback,75.0,231.0,2018,371,531,0.699,4751,49,8,8.9,79,108,4,1.4,13,12,1,1,1,0,5.04,,28.5,,,,Y
Missouri,SEC,Denver,2019,42,2,10,Drew Lock,Quarterback,76.0,228.0,2018,275,437,0.629,3498,28,8,8.0,55,175,6,3.2,12,8,4,1,0,1,4.69,,31.0,112.0,7.03,4.12,Y
West Virginia,Big 12,Carolina,2019,100,3,36,Will Grier,Quarterback,75.0,217.0,2018,266,397,0.67,3864,37,8,9.7,49,-95,3,-1.9,11,8,3,1,0,1,4.84,,34.0,112.0,7.09,4.28,Y
NC State,ACC,Cincinnati,2019,104,4,2,Ryan Finley,Quarterback,76.0,213.0,2018,300,447,0.671,3612,21,10,8.1,40,20,1,0.5,12,9,3,1,0,1,4.73,,30.5,116.0,7.2,4.2,Y
Auburn,SEC,New England,2019,133,4,31,Jarrett Stidham,Quarterback,74.0,218.0,2018,224,369,0.607,2795,18,5,7.6,71,-5,3,-0.1,12,7,5,1,1,0,4.81,,31.0,110.0,7.28,4.33,Y
Northwestern,Big Ten,Philadelphia,2019,167,5,29,Clayton Thorson,Quarterback,76.0,222.0,2018,298,490,0.608,3181,17,15,6.5,78,-110,9,-1.4,13,8,5,1,1,0,,,,,,,Y
Washington State,Pac-12,Jacksonville,2019,178,6,5,Gardner Minshew,Quarterback,73.0,225.0,2018,468,662,0.707,4776,38,9,7.2,58,119,4,2.1,12,10,2,1,1,0,4.97,,33.5,116.0,7.14,4.45,Y
Penn State,Big Ten,Baltimore,2019,197,6,24,Trace McSorley,Quarterback,72.0,202.0,2018,192,361,0.532,2513,18,7,7.0,169,799,12,4.7,12,9,3,1,0,1,4.57,,33.0,115.0,7.09,4.12,Y
LSU,SEC,Cincinnati,2020,1,1,1,Joe Burrow,Quarterback,76.0,221.0,2019,402,527,0.763,5671,60,6,10.8,115,369,5,3.2,13,13,0,2,2,0,,,,,,,Y
Alabama,SEC,Miami,2020,5,1,5,Tua Tagovailoa,Quarterback,72.0,217.0,2019,180,252,0.714,2840,33,3,11.3,23,17,2,0.7,12,10,2,1,1,0,,,,,,,Y
Oregon,Pac-12,Los Angeles,2020,6,1,6,Justin Herbert,Quarterback,78.0,236.0,2019,286,428,0.668,3471,32,6,8.1,58,50,4,0.9,13,11,2,1,1,0,4.68,,35.5,123.0,7.06,4.46,Y
Utah State,Mountain West,Green Bay,2020,26,1,26,Jordan Love,Quarterback,76.0,224.0,2019,293,473,0.619,3402,20,17,7.2,81,175,0,2.2,12,7,5,1,0,1,4.74,,35.5,118.0,7.21,4.52,Y
Oklahoma,Big 12,Philadelphia,2020,53,2,21,Jalen Hurts,Quarterback,73.0,222.0,2019,237,341,0.695,3851,32,8,11.3,233,1298,20,5.6,13,12,1,1,0,1,4.59,,35.0,125.0,,,Y
Washington,Pac-12,Indianapolis,2020,122,4,16,Jacob Eason,Quarterback,78.0,231.0,2019,260,405,0.642,3132,23,8,7.7,46,-69,1,-1.5,12,7,5,1,1,0,4.89,,27.5,110.0,7.5,4.75,Y
Florida International,Conference USA,New York,2020,125,4,19,James Morgan,Quarterback,76.0,229.0,2019,207,357,0.58,2560,14,5,7.2,31,-34,2,-1.1,12,6,6,1,0,1,4.89,,29.0,112.0,7.51,4.64,Y
Georgia,SEC,Buffalo,2020,167,5,22,Jake Fromm,Quarterback,74.0,219.0,2019,234,385,0.608,2860,24,5,7.4,38,-12,0,-0.3,13,11,2,1,1,0,5.01,,30.0,111.0,7.27,4.51,Y
Oregon State,Pac-12,Jacksonville,2020,189,6,10,Jake Luton,Quarterback,78.0,224.0,2019,222,358,0.62,2714,28,3,7.6,44,-87,1,-2.0,12,5,7,0,0,0,,,,,,,Y
Hawai'i,Mountain West,Tennessee,2020,224,7,10,Cole McDonald,Quarterback,75.0,215.0,2019,326,511,0.638,4138,33,14,8.1,103,377,7,3.7,14,9,5,1,1,0,4.58,,36.0,121.0,7.13,4.52,Y
James Madison,CAA,Dallas,2020,231,7,17,Ben DiNucci,Quarterback,75.0,210.0,2019,13,20,0.65,156,0,1,7.8,14,36,0,2.6,14,13,1,2,1,1,,,,,,,N
Mississippi State,SEC,New Orleans,2020,240,7,26,Tommy Stevens,Quarterback,77.0,235.0,2019,97,161,0.602,1155,11,5,7.2,83,381,4,4.6,12,6,6,1,0,1,,,,,,,N
Iowa,Big Ten,Minnesota,2020,244,7,30,Nate Stanley,Quarterback,76.0,235.0,2019,237,399,0.594,2951,16,7,7.4,76,7,1,0.1,12,9,3,1,1,0,4.81,,28.5,108.0,7.26,4.48,Y
